,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIII9,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,"4LF332 A, 2 TI, PS, L, Boldisor_C_N","4LF332 B, 2 TI, PS, L, Boldisor_C_N",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MARTI,"4LF421 +..., 3 AIA, ASCN II, S, Moldoveanu_F_D","4LF331 B, 2 TI, PS, L, Boldisor_C_N","4LF431 +..., 2 AIA, TS, S, Coman_S",,"3, ET, PUM, C, Rosenberg_D","4LF411 B, 4 AIA, Optimizari, L, Andrei_A_M",,,,
,"4LF422 +..., 3 AIA, ASCN II, S, Moldoveanu_F_D",,"4LF432 +..., 2 AIA, TS, S, Coman_S",,,,,,,
,,,,,,,,,,
MIERCURI,,"4LF423 B, 3 AIA, IRA, L, Boldisor_C_N","4LF423 A, 3 AIA, IRA, L, Boldisor_C_N","4LF413 A, 4 AIA, SCF, L, Boldisor_C_N","4, AIA, SCF, C, Boldisor_C_N","2, SATI, BDMD, C, Turcu_D",,,,
,,,,,,,,,,
,,,,,,,,,,
JOI,"4LF411 A, 4 AIA, SDED, L, Muntean_B","4LF422 A, 3 AIA, IRA, L, Boldisor_C_N","4LF412 A, 4 AIA, SDED, L, Muntean_B","4LF422 B, 3 AIA, IRA, L, Boldisor_C_N",,,"4LF421 +..., 3 AIA, IRA, S, Boldisor_C_N",,,
,,,,,,,,,,
,,,,,,,,,,
VINERI,"4LF421 A, 3 AIA, IRA, L, Boldisor_C_N","4LF421 B, 3 AIA, IRA, L, Boldisor_C_N","4, AIA, CAE, C, Diaconu_L_I",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIII16,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,,,"4LF421 A, 3 AIA, AC, L, Rosenberg_D",,,"4LF321 A, 3 TI, ASC, L, Rosenberg_D",,,,
,,,,,"4LF441 A, 1 AIA, PCLP1, L, Dragomir_C_M",,,,,
,,,,,,,,,,
MARTI,"4LF322 B, 3 TI, ASC, L, Rosenberg_D","4LF321 B, 3 TI, ASC, L, Rosenberg_D","4LF322 A, 3 TI, ASC, L, Rosenberg_D",,,"4LF121 A, 3 ET, PUM, L, Rosenberg_D","4LF121 B, 3 ET, PUM, L, Rosenberg_D",,,
,,,,"4LF832 A, 2 RO, Engleza, S, Toader_A",,,,,,
,,,,,,,,,,
MIERCURI,"4LF122 A, 3 ET, PUM, L, Rosenberg_D","4LF423 A, 3 AIA, AC, L, Rosenberg_D","4LF422 A, 3 AIA, AC, L, Rosenberg_D","4LF822 A, 3 RO, IA, L, Chirobocia_I","4LF421 B, 3 AIA, AC, L, Rosenberg_D","4LF422 B, 3 AIA, AC, L, Rosenberg_D","4LF423 B, 3 AIA, AC, L, Rosenberg_D",,,
,,,,,,,,,,
,,,,,,,,,,
JOI,,"4LF421 B, 3 AIA, ASCN II, L, Marina_L_A","4LF422 B, 3 AIA, ASCN II, L, Marina_L_A","4LF423 B, 3 AIA, ASCN II, L, Marina_L_A","4LF413 A, 4 AIA, SDED, L, Muntean_B","4LF412 A, 4 AIA, SDED, L, Muntean_B",,,,
,,"4LF421 A, 3 AIA, ASCN II, L, Marina_L_A","4LF422 A, 3 AIA, ASCN II, L, Marina_L_A","4LF423 A, 3 AIA, ASCN II, L, Marina_L_A",,,,,,
,,,,,,,,,,
VINERI,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VI1A,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,"4LF111 A, 4 ET, UCCP, L, Demeter_R","4LF111 B, 4 ET, UCCP, L, Demeter_R","4, AIA, SDED, C, Boldisor_C_N",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MARTI,,,"4LF412 A, 4 AIA, SD, L, Pitu_C_L","4LF411 A, 4 AIA, SD, L, Pitu_C_L","2, SATI, SC, C, Pitu_C_L","4MF132 A, 2 SATI, SC, L, Pitu_C_L",,,,
,,,"4LF412 B, 4 AIA, SD, L, Pitu_C_L","4LF411 B, 4 AIA, SD, L, Pitu_C_L",,"4MF132 A, 2 SATI, SC, P, Pitu_C_L",,,,
,,,,,,,,,,
MIERCURI,,,,"4, ET, UCCP, C, Demeter_R","4LF421 A, 3 AIA, TIA, L, Suciu_C","4LF411 +..., 4 AIA, SCF, P, Boldisor_C_N","4LF422 A, 3 AIA, TIA, L, Suciu_C",,,
,,,,,,"4LF412 , 4 AIA, SCF, P, Boldisor_C_N",,,,
,,,,,,,,,,
JOI,,,"4LF321 A, 3 TI, SO, L, Demeter_R","4LF321 B, 3 TI, SO, L, Gheorghita_A_B",,,,,,
,,,"4LF321 A, 3 TI, SO, L, Gheorghita_A_B",,,,,,,
,,,,,,,,,,
VINERI,"2, AIA, MN, C, Itu_L_M","4LF421 A, 3 AIA, SO, L, Demeter_R","4LF422 B, 3 AIA, SO, L, Demeter_R","4LF422 A, 3 AIA, SO, L, Vantu_A","4LF423 A, 3 AIA, SO, L, Vantu_A","4LF423 B, 3 AIA, SO, L, Vantu_A",,,,
,,,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIII13,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,,,"4LF321 A, 3 TI, MIS, L, Danila_A","4, RO, MISM, C, Danila_A","4LF811 A, 4 RO, MISM, L, Danila_A","4MF131 A, 2 SATI, MIPPD, L, Danila_A","2, SATI, MIPPD, C, Danila_A",,,
,,,"4LF321 B, 3 TI, MIS, L, Danila_A",,,,,,,
,,,,,,,,,,
MARTI,"4LF423 A, 3 AIA, IS, L, Danila_A","4LF811 B, 4 RO, MISM, L, Danila_A",,"4LF111 A, 4 ET, AE, L, Diaconu_L_I",,,,,,
,"4LF322 A, 3 TI, MIS, L, Danila_A",,,"4LF111 B, 4 ET, AE, L, Diaconu_L_I","4LF413 A, 4 AIA, CAE, L, Diaconu_L_I","4LF423 B, 3 AIA, IS, L, Danila_A",,,,
,,,,,,,,,,
MIERCURI,"4LF512 A, 4 IEC, AE, L, Danila_A","4LF511 A, 4 IEC, AE, L, Danila_A",,,,"4LF322 B, 3 TI, MIS, L, Danila_A",,,,
,,,,,,,,,,
,,,,,,,,,,
JOI,"4LF421 A, 3 AIA, IS, L, Danila_A","4LF532 , 2 IEC, TS, S, Danila_A","4LF422 A, 3 AIA, IS, L, Danila_A","4LF531 , 2 IEC, TS, S, Danila_A","4LF412 A, 4 AIA, CAE, L, Diaconu_L_I","4LF411 A, 4 AIA, CAE, L, Diaconu_L_I",,,,
,"4LF421 B, 3 AIA, IS, L, Danila_A",,"4LF422 B, 3 AIA, IS, L, Danila_A",,"4LF412 B, 4 AIA, CAE, L, Diaconu_L_I","4LF411 B, 4 AIA, CAE, L, Diaconu_L_I",,,,
,,,,,,,,,,
VINERI,"4LF511 B, 4 IEC, AE, L, Danila_A",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIII12,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,,,,"4LF441 A, 1 AIA, PCLP1, L, Dragomir_C_M","4LF442 A, 1 AIA, PCLP1, L, Cimpianu_V","4LF442 A, 1 AIA, PCLP1, L, Cimpianu_V","4LF442 B, 1 AIA, PCLP1, L, Cimpianu_V",,,
,,,,,,"4LF442 B, 1 AIA, PCLP1, L, Cimpianu_V",,,,
,,,,,,,,,,
MARTI,,"4LF433 A, 2 AIA, PA, L, Nitoi_M",,"4LF831 A, 2 RO, Java, L, Zolya_M_A","4LF832 A, 2 RO, Java, L, Zolya_M_A","4LF831 B, 2 RO, Java, L, Zolya_M_A",,,,
,,"4LF433 B, 2 AIA, PA, L, Nitoi_M","4LF831 , 2 RO, Engleza, S, Toader_A",,,,,,,
,,,,,,,,,,
MIERCURI,"4LF341 A, 1 TI, PCLP1, L, Ungureanu_D_E","4LF341 B, 1 TI, PCLP1, L, Ungureanu_D_E","4LF341 B, 1 TI, PCLP1, L, Ungureanu_D_E",,"4LF342 A, 1 TI, PCLP1, L, Ungureanu_D_E","4LF342 B, 1 TI, PCLP1, L, Ungureanu_D_E",,,,
,,"4LF341 A, 1 TI, PCLP1, L, Ungureanu_D_E",,"4LF342 A, 1 TI, PCLP1, L, Ungureanu_D_E",,,"4LF342 B, 1 TI, PCLP1, L, Ungureanu_D_E",,,
,,,,,,,,,,
JOI,"4LF841 A, 1 RO, PCLP1, L, Cocias_T_T","4LF841 B, 1 RO, PCLP1, L, Cocias_T_T","4LF841 B, 1 RO, PCLP1, L, Cocias_T_T",,"4LF444 A, 1 AIA, PCLP1, L, Cimpianu_V","4LF444 A, 1 AIA, PCLP1, L, Cimpianu_V","4LF444 B, 1 AIA, PCLP1, L, Cimpianu_V",,,
,,"4LF841 A, 1 RO, PCLP1, L, Cocias_T_T",,,,"4LF444 B, 1 AIA, PCLP1, L, Cimpianu_V",,,,
,,,,,,,,,,
VINERI,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIV5A,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,,"4LF311 B, 4 TI, PIU, L, Popa_Lumi","4LF322 A, 3 TI, PG, L, Popa_Lumi","4LF321 B, 3 TI, PG, L, Popa_Lumi","3, TI, PG, C, Popa_Lumi",,,,,
,,,,,,,,,,
,,,,,,,,,,
MARTI,"4LF321 A, 3 TI, PG, L, Popa_Lumi","4LF322 B, 3 TI, PG, L, Popa_Lumi","4LF311 A, 4 TI, PIU, L, Popa_Lumi","4LF312 A, 4 TI, PIU, L, Popa_Lumi","4LF332 B, 2 TI, SDA, L, Kristaly_D_M","4LF331 A, 2 TI, SDA, L, Kristaly_D_M",,,,
,,,,,"4LF332 A, 2 TI, SDA, L, Kristaly_D_M","4LF331 B, 2 TI, SDA, L, Kristaly_D_M",,,,
,,,,,,,,,,
MIERCURI,"4, TI, Cripto, C, Kristaly_D_M","4LF311 +..., 4 TI, Cripto, P, Kristaly_D_M","4LF311 B, 4 TI, Cripto, L, Kristaly_D_M",,"4LF322 A, 3 TI, APD, L, Bratu_D","4LF321 B, 3 TI, APD, L, Bratu_D","4LF321 A, 3 TI, APD, L, Bratu_D",,,
,,,,,,,,,,
,,,,,,,,,,
JOI,"4LF312 A, 4 TI, Cripto, L, Kristaly_D_M","4LF311 A, 4 TI, Cripto, L, Kristaly_D_M",,"4, TI, PIU, C, Popa_Lumi","2, SATI, PAMCVP, C, Popa_Lumi","4MF131 A, 2 SATI, PAMCVP, L, Popa_Lumi",,,,
,,,"4LF841 +..., 1 RO, Engleza, S, Toader_A",,,"4LF321 +..., 3 TI, APD, P, Bratu_D",,,,
,,,,,,,,,,
VINERI,"3, TI, APD, C, Kristaly_D_M",,,,"2, SATI, CSVPI, C, Kristaly_D_M","4MF131 A, 2 SATI, CSVPI, L, Kristaly_D_M",,,,
,,,,,,"4MF131 A, 2 SATI, CSVPI, P, Kristaly_D_M",,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIII11,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,"4LF411 B, 4 AIA, SAR, L, Coman_S","4LF412 B, 4 AIA, SAR, L, Coman_S",,,"4LF831 A, 2 RO, TS1, L, Zaha_M_V","4LF831 +..., 2 RO, TS1, P, Zaha_M_V",,,,
,,,,,"4LF831 B, 2 RO, TS1, L, Zaha_M_V","4LF832 A, 2 RO, TS1, L, Zaha_M_V",,,,
,,,,,,,,,,
MARTI,,"4LF412 A, 4 AIA, SAR, L, Coman_S","4LF412 B, 4 AIA, SCF, L, Boldisor_C_N","4LF411 B, 4 AIA, SCF, L, Boldisor_C_N","4LF821 A, 3 RO, IR, L, Muntean_B","4LF821 B, 3 RO, IR, L, Muntean_B","4LF822 A, 3 RO, IR, L, Muntean_B",,,
,,,"4LF412 A, 4 AIA, SCF, L, Boldisor_C_N","4LF411 A, 4 AIA, SCF, L, Boldisor_C_N",,,,,,
,,,,,,,,,,
MIERCURI,"4LF432 A, 2 AIA, TS, L, Coman_S","4LF431 A, 2 AIA, TS, L, Coman_S","4LF413 A, 4 AIA, SAR, L, Coman_S","4LF444 A, 1 AIA, Tehnologii web, L, Itu_A","4MF131 A, 2 SATI, BDMD, L, Turcu_D","4LF421 B, 3 AIA, TIA, L, Suciu_C",,,,
,"4LF432 B, 2 AIA, TS, L, Coman_S","4LF431 B, 2 AIA, TS, L, Coman_S",,,,,,,,
,,,,,,,,,,
JOI,"4LF433 B, 2 AIA, TS, L, Coman_S","4LF411 A, 4 AIA, SAR, L, Coman_S","4LF331 A, 2 TI, PS, L, Boldisor_C_N","4LF413 A, 4 AIA, Optimizari, L, Andrei_A_M","4LF412 B, 4 AIA, Optimizari, L, Andrei_A_M",,,,,
,"4LF433 A, 2 AIA, TS, L, Coman_S",,,"4LF411 A, 4 AIA, Optimizari, L, Andrei_A_M","4LF412 A, 4 AIA, Optimizari, L, Andrei_A_M",,,,,
,,,,,,,,,,
VINERI,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIII8,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,,,,,"4LF842 A, 1 RO, PCLP1, L, Cocias_T_T","4LF842 A, 1 RO, PCLP1, L, Cocias_T_T","4LF842 B, 1 RO, PCLP1, L, Cocias_T_T",,,
,,,,,,"4LF842 B, 1 RO, PCLP1, L, Cocias_T_T",,,,
,,,,,,,,,,
MARTI,,"4LF311 A, 4 TI, SI, L, Manea_C_Adr",,"4LF311 B, 4 TI, SI, L, Manea_C_Adr","4LF312 A, 4 TI, SI, L, Manea_C_Adr",,,,,
,,,,,,,,,,
,,,,,,,,,,
MIERCURI,"4LF443 A, 1 AIA, PCLP1, L, Dragomir_C_M","4LF443 A, 1 AIA, PCLP1, L, Dragomir_C_M","4LF443 B, 1 AIA, PCLP1, L, Dragomir_C_M","4LF332 , 2 TI, SDA, P, Moraru_S_A","4LF821 A, 3 RO, IA, L, Ginerica_C","4LF821 B, 3 RO, IA, L, Ginerica_C",,,,
,,"4LF443 B, 1 AIA, PCLP1, L, Dragomir_C_M",,"4LF331 , 2 TI, SDA, P, Moraru_S_A",,,,,,
,,,,,,,,,,
JOI,"4LF322 B, 3 TI, BD, L, Popov_A_F","4LF321 A, 3 TI, BD, L, Popov_A_F","4LF321 B, 3 TI, BD, L, Popov_A_F","4LF322 A, 3 TI, BD, L, Popov_A_F","4LF443 A, 1 AIA, Tehnologii web, L, Zolya_M_A",,,,,
,,,,,,,,,,
,,,,,,,,,,
VINERI,,"4LF441 B, 1 AIA, PCLP1, L, Dragomir_C_M",,,,,,,,
,"4LF441 B, 1 AIA, PCLP1, L, Dragomir_C_M",,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VI1B,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,"4LF441 B, 1 AIA, Tehnologii web, L, Itu_A",,,,"4LF422 B, 3 AIA, TIA, L, Ogrezeanu_I_A","4LF423 A, 3 AIA, TIA, L, Ogrezeanu_I_A","4LF423 B, 3 AIA, TIA, L, Ogrezeanu_I_A",,,
,,,,,,,,,,
,,,,,,,,,,
MARTI,"4LF442 B, 1 AIA, Tehnologii web, L, Itu_A","4LF441 A, 1 AIA, Tehnologii web, L, Itu_A",,,"4LF413 A, 4 AIA, SD, L, Pitu_C_L",,,,,
,,,,,,,,,,
,,,,,,,,,,
MIERCURI,,,"4LF444 B, 1 AIA, Tehnologii web, L, Itu_A","4LF432 A, 2 AIA, MN, L, Hatfaludi_C_A","4LF432 B, 2 AIA, MN, L, Hatfaludi_C_A","4LF433 B, 2 AIA, MN, L, Hatfaludi_C_A",,,,
,,,,,,,,,,
,,,,,,,,,,
JOI,,,"4LF433 A, 2 AIA, MN, L, Hatfaludi_C_A","4LF431 B, 2 AIA, MN, L, Hatfaludi_C_A","4LF431 A, 2 AIA, MN, L, Hatfaludi_C_A","4LF443 B, 1 AIA, Tehnologii web, L, Zolya_M_A","4LF442 A, 1 AIA, Tehnologii web, L, Zolya_M_A",,,
,,,,,,,,,,
,,,,,,,,,,
VINERI,"4LF421 B, 3 AIA, SO, L, Demeter_R",,"4LF322 A, 3 TI, SO, L, Gheorghita_A_B",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIII15,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,"4, TI, SRF, C, Grigorescu_S_M","4LF311 A, 4 TI, SRF, L, Ginerica_C","4LF311 B, 4 TI, SRF, L, Ginerica_C","4LF312 A, 4 TI, SRF, L, Ginerica_C","4, TI, Inv Aut, C, Grigorescu_S_M","4LF822 A, 3 RO, BCRI, L, Spulber_A",,,,
,,,,,,,,,,
,,,,,,,,,,
MARTI,"4LF311 +..., 4 TI, Inv Aut, S, Marina_L_A","4LF312 A, 4 TI, Inv Aut, L, Marina_L_A","4LF831 , 2 RO, Java, P, Moraru_S_A","4LF831 B, 2 RO, MN, L, Macesanu_G","4LF831 A, 2 RO, MN, L, Macesanu_G","4LF832 A, 2 RO, MN, L, Macesanu_G","4, TI, SI, C, Manea_C_Adr",,,
,"4LF312 A, 4 TI, Inv Aut, L, Marina_L_A",,"4LF832 A, 2 RO, Java, P, Moraru_S_A",,,,,,,
,,,,,,,,,,
MIERCURI,,"4LF432 B, 2 AIA, PA, L, Nitoi_M","4LF411 A, 4 AIA, SVA, L, Ginerica_C","4LF411 B, 4 AIA, SVA, L, Ginerica_C","2, SATI, SRVA, C, Grigorescu_S_M","4MF132 A, 2 SATI, SRVA, P, Grigorescu_S_M",,,,
,,"4LF432 A, 2 AIA, PA, L, Nitoi_M","4LF411 B, 4 AIA, SVA, L, Ginerica_C","4LF413 A, 4 AIA, SVA, L, Ginerica_C",,"4MF132 A, 2 SATI, SRVA, L, Grigorescu_S_M",,,,
,,,,,,,,,,
JOI,"4LF811 A, 4 RO, Probo, L, Macesanu_G","4, RO, Probo, C, Macesanu_G","4LF811 B, 4 RO, Probo, L, Macesanu_G","4LF412 A, 4 AIA, SVA, L, Ginerica_C","4LF311 A, 4 TI, Inv Aut, L, Marina_L_A","4LF311 B, 4 TI, Inv Aut, L, Marina_L_A",,,,
,,,,,"4LF311 B, 4 TI, Inv Aut, L, Marina_L_A",,,,,
,,,,,,,,,,
VINERI,"4LF821 , 3 RO, IA, P, Grigorescu_S_M","4, RO, VA, C, Grigorescu_S_M",,,"4LF432 A, 2 AIA, Robotica, L, Trasnea_B","4LF432 B, 2 AIA, Robotica, L, Trasnea_B",,,,
,"4LF822 A, 3 RO, IA, P, Grigorescu_S_M",,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIII14,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,"4LF411 A, 4 AIA, ISCA, P, Macesanu_G","4LF411 B, 4 AIA, ISCA, P, Macesanu_G","4LF811 , 4 RO, SCR, P, Doloiu_M","4LF412 A, 4 AIA, ISCA, P, Macesanu_G","4LF412 B, 4 AIA, ISCA, P, Macesanu_G","4LF413 A, 4 AIA, ISCA, P, Macesanu_G",,,,
,,,,,,,,,,
,,,,,,,,,,
MARTI,,"4LF811 A, 4 RO, VA, L, Chirobocia_I","4LF423 , 3 AIA, ASCN II, P, Moldoveanu_F_D","4LF811 B, 4 RO, VA, L, Chirobocia_I","4LF811 B, 4 RO, VA, P, Chirobocia_I",,,,,
,"4LF811 A, 4 RO, VA, P, Chirobocia_I",,"4LF421 , 3 AIA, ASCN II, P, Moldoveanu_F_D","4LF422 , 3 AIA, ASCN II, P, Moldoveanu_F_D","4LF811 B, 4 RO, VA, L, Chirobocia_I",,,,,
,,,,,,,,,,
MIERCURI,"4LF431 B, 2 AIA, PA, L, Nitoi_M","4, AIA, Optimizari, C, Vizitiu_A",,"4LF311 A, 4 TI, IAC, L, Vizitiu_C","4LF311 B, 4 TI, IAC, L, Vizitiu_C","4LF312 A, 4 TI, IAC, L, Vizitiu_C",,,,
,"4LF431 A, 2 AIA, PA, L, Nitoi_M",,,,,,,,,
,,,,,,,,,,
JOI,"4LF832 A, 2 RO, Brobo, L, Tomuta_G","4LF831 A, 2 RO, Brobo, L, Tomuta_G","4LF413 A, 4 AIA, SVA, L, Ginerica_C","4LF412 B, 4 AIA, SVA, L, Ginerica_C","4MF141 , 1 SATI, TICCP, P, Boldisor_C_N",,,,,
,,"4LF831 B, 2 RO, Brobo, L, Tomuta_G","4LF411 A, 4 AIA, SVA, L, Ginerica_C",,"4MF142 , 1 SATI, TICCP, P, Boldisor_C_N",,,,,
,,,,,,,,,,
VINERI,"4LF311 A, 4 TI, Inv Aut, L, Marina_L_A",,"4, TI, IAC, C, Vizitiu_C",,"4LF821 A, 3 RO, BCRI, L, Spulber_A","4LF821 B, 3 RO, BCRI, L, Spulber_A",,,,
,,,,"4LF311 +..., 4 TI, IAC, P, Vizitiu_C",,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Universitatea TRANSILVANIA din Brasov,,,                   ORAR SALI,,,Cod Orar,IESC_O,,,I
Sala,,VIV5B,,Valabil in anul universitar,,2024-2025,Semestrul - I,,,
,"8,00-9,50","10,00-11,50","12,00-13,50","14,00-15,50","16,00-17,50","18,00-19,50","20,00-21,50",,,
,,,,,,,,,,
LUNI,"4LF433 A, 2 AIA, CEL, L, Popov_A_F","4LF831 A, 2 RO, EL, L, Popov_A_F",,"4LF832 A, 2 RO, EL, L, Popov_A_F",,,,,,
,"4LF433 B, 2 AIA, CEL, L, Popov_A_F","4LF831 B, 2 RO, EL, L, Popov_A_F",,,,,,,,
,,,,,,,,,,
MARTI,,"4LF432 , 2 AIA, CEL, P, Popov_A_F",,,,,,,,
,,"4LF431 , 2 AIA, CEL, P, Popov_A_F",,,,,,,,
,,,,,,,,,,
MIERCURI,"4LF431 A, 2 AIA, CEL, L, Popov_A_F","4LF432 A, 2 AIA, CEL, L, Popov_A_F",,"4LF433 , 2 AIA, CEL, P, Popov_A_F",,,,,,
,"4LF431 B, 2 AIA, CEL, L, Popov_A_F","4LF432 B, 2 AIA, CEL, L, Popov_A_F",,,,,,,,
,,,,,,,,,,
JOI,,"4LF411 B, 4 AIA, SDED, L, Muntean_B",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
VINERI,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SAMBATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
